#{"t_start": 1762470392.042762, "env_id": "None"}
r,l,t
56.3,200,40.428988
55.0,200,40.470841
40.9,200,40.513234
33.8,200,40.556933
40.3,200,40.600827
20.2,200,40.643889
45.7,200,40.685601
40.9,200,40.727172
51.3,200,40.771091
45.0,200,40.81392
28.9,200,40.860824
30.7,200,40.902764
56.3,200,40.94622
33.4,200,40.988293
56.6,200,41.029191
40.9,200,41.07391
41.6,200,41.116815
31.0,200,41.163428
12.9,200,41.206951
56.6,200,41.248095
35.3,200,41.292723
53.6,200,41.333749
40.7,200,41.37757
59.4,200,41.418995
55.9,200,41.461964
32.9,200,41.505736
36.8,200,41.548287
9.9,200,41.597173
53.0,200,41.642376
38.4,200,41.685749
22.7,200,41.73059
50.2,200,41.773517
39.6,200,41.820919
15.7,200,41.866433
53.4,200,41.914153
30.7,200,41.961531
53.8,200,42.009058
29.5,200,42.053839
3.8,200,42.098117
6.3,200,42.141521
40.7,200,42.185992
55.7,200,42.229064
24.2,200,42.271913
54.0,200,42.315516
56.6,200,42.3587
53.4,200,42.400847
48.6,200,42.444658
11.0,200,42.488963
28.8,200,42.556705
28.1,200,42.632338
50.1,200,42.676388
26.4,200,42.721604
25.1,200,42.768376
42.3,200,42.811042
41.7,200,42.859857
22.7,200,42.94164
57.9,200,42.987425
17.6,200,43.032436
47.4,200,43.0772
11.9,200,43.122861
37.3,200,43.170081
13.0,200,43.215315
3.8,200,43.257969
56.3,200,43.300597
15.2,200,43.345006
44.2,200,43.388752
49.1,200,43.430334
18.9,200,43.474238
34.7,200,43.517766
32.7,200,43.56014
40.9,200,43.603507
53.1,200,43.644539
